Month,Date,Two.weeks.prior.to.outbreak.only,Nationwide.Republican.Support,Nationwide.Democratic.Support,Voter.Intention.Index,Voter.Intention.Change.Index,Daily.Ebola.Search.Volume,Ebola.Search.Volume.Index,Daily.ISIS.Search.Volume,ISIS.Search.Volume.Index,DJIA,LexisNexisNewsVolume,LexisNexisNewsVolumeWeek,filter_$
NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,0,NA,NA,NA,NA,3,2.86,14,NA,NA,23,37.57,1
9,2,0,NA,NA,NA,NA,5,3.14,37,NA,17067.56,38,34.86,1
9,3,0,NA,NA,NA,NA,6,3.57,48,NA,17078.28,52,36.43,1
9,4,0,NA,NA,NA,NA,4,3.71,37,NA,17069.58,50,37.14,1
9,5,0,NA,NA,NA,NA,4,3.86,27,NA,17137.36,51,40,1
9,6,0,NA,NA,NA,NA,3,3.57,23,NA,NA,31,38.86,1
9,7,0,43.7,42.3,1.40000000000001,NA,3,4,24,30,NA,23,38.29,1
9,8,0,NA,NA,NA,NA,3,4,23,31.28571429,17111.42,30,39.29,1
9,9,0,43.7,42.5,1.2,NA,4,3.86,19,28.71428571,17013.87,74,44.43,1
9,10,0,NA,NA,NA,NA,3,3.43,27,25.71428571,17068.71,42,43,1
9,11,0,NA,NA,NA,NA,3,3.29,100,34.71428571,17049,32,40.43,1
9,12,0,NA,NA,NA,NA,3,3.14,36,36,16987.51,52,40.57,1
9,13,0,NA,NA,NA,NA,3,3.14,25,36.28571429,NA,29,40.29,1
9,14,0,43.9,42.9,1,-0.4,2,3,52,40.28571429,NA,29,41.14,1
9,15,0,NA,NA,NA,NA,3,3,28,41,17031.14,40,42.57,1
9,16,0,NA,NA,NA,NA,5,3.14,23,41.57142857,17131.97,89,44.71,1
9,17,0,NA,NA,NA,NA,6,3.57,19,40.42857143,17156.85,128,57,1
